                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1113,                  1.694,                 1.2745,                0.69989,                0.51667,                0.59776,                0.45306,                 1.0267,                 1.6616,                  1.166,             0.00066082,             0.00066082,             0.00066082
                      1,                0.91216,                 1.1836,                 1.1386,                 0.6404,                0.51833,                0.55616,                0.40445,                0.98451,                 1.6897,                  1.143,              0.0013209,              0.0013209,              0.0013209
                      2,                0.88062,                 1.0865,                 1.1145,                0.70298,                0.59564,                0.66142,                 0.4832,                0.91464,                 1.6544,                 1.0614,              0.0019744,              0.0019744,              0.0019744
                      3,                  0.837,                 1.0104,                 1.1026,                0.65843,                0.58795,                0.61686,                0.48456,                0.88734,                 1.7648,                 1.1291,              0.0019703,              0.0019703,              0.0019703
                      4,                0.80039,                0.95862,                 1.0839,                 0.7422,                  0.685,                0.73275,                0.57649,                0.81814,                 1.1654,                 1.0203,              0.0019703,              0.0019703,              0.0019703
                      5,                0.77028,                0.89496,                 1.0635,                 0.7425,                0.68333,                 0.7502,                0.61111,                0.76175,                 1.0332,                0.99963,              0.0019604,              0.0019604,              0.0019604
                      6,                0.74216,                 0.8647,                 1.0521,                 0.7623,                0.62002,                0.72532,                 0.5757,                0.75963,                 1.2198,                 1.0119,              0.0019505,              0.0019505,              0.0019505
                      7,                0.73631,                 0.8525,                 1.0518,                 0.7976,                0.73667,                0.80754,                0.66702,                0.68835,                0.92457,                0.95171,              0.0019406,              0.0019406,              0.0019406
                      8,                 0.7139,                0.81491,                 1.0414,                0.83178,                0.71167,                0.80093,                0.66781,                0.67385,                0.95177,                0.96623,              0.0019307,              0.0019307,              0.0019307
                      9,                0.68605,                0.79348,                  1.025,                 0.8306,                   0.68,                0.79776,                0.65731,                0.67638,                0.92501,                0.96619,              0.0019208,              0.0019208,              0.0019208
                     10,                0.67225,                0.77089,                 1.0191,                0.78484,                0.70667,                0.79945,                0.66343,                0.66033,                0.96271,                0.95435,              0.0019109,              0.0019109,              0.0019109
                     11,                0.67304,                 0.7761,                 1.0227,                0.75329,                0.61833,                0.73006,                  0.582,                0.69767,                 1.3877,                0.96951,               0.001901,               0.001901,               0.001901
                     12,                0.65879,                0.74195,                 1.0131,                0.80404,                0.71333,                0.79848,                0.66616,                0.66713,                 0.9027,                0.96795,              0.0018911,              0.0018911,              0.0018911
                     13,                0.65637,                 0.7331,                 1.0093,                0.79596,                0.72817,                0.81241,                0.68215,                0.64731,                0.86888,                0.92635,              0.0018812,              0.0018812,              0.0018812
                     14,                   0.65,                0.73099,                 1.0008,                0.82764,                0.69626,                 0.7997,                 0.6656,                0.62894,                0.93117,                0.97101,              0.0018713,              0.0018713,              0.0018713
                     15,                0.63359,                0.71469,                 1.0013,                0.77649,                0.72833,                 0.8021,                0.66894,                0.66574,                  1.285,                0.95732,              0.0018614,              0.0018614,              0.0018614
                     16,                0.63388,                0.70394,                 1.0019,                0.74367,                0.63343,                0.73456,                 0.6186,                0.61951,                 1.7812,                0.94187,              0.0018515,              0.0018515,              0.0018515
                     17,                0.62532,                0.69592,                0.99435,                0.81339,                0.70468,                  0.805,                 0.6942,                0.59461,                0.79455,                0.92707,              0.0018416,              0.0018416,              0.0018416
                     18,                  0.618,                0.68837,                0.99404,                0.83948,                  0.815,                0.87876,                0.74456,                0.60195,                0.72085,                0.91107,              0.0018317,              0.0018317,              0.0018317
                     19,                0.60607,                0.67389,                0.98781,                0.70517,                  0.775,                0.80597,                0.68399,                0.59454,                0.83982,                0.92472,              0.0018218,              0.0018218,              0.0018218
                     20,                0.60567,                0.66624,                0.98309,                0.81419,                0.83333,                0.87731,                0.75635,                0.56871,                0.64762,                0.89767,              0.0018119,              0.0018119,              0.0018119
                     21,                0.59869,                0.66224,                0.98148,                0.82925,                0.81667,                0.87247,                0.75505,                0.55388,                0.68197,                0.89694,               0.001802,               0.001802,               0.001802
                     22,                0.59645,                0.65527,                0.98255,                0.84833,                  0.815,                0.88386,                0.75303,                0.57513,                 0.7119,                0.89918,              0.0017921,              0.0017921,              0.0017921
                     23,                0.59088,                0.64812,                0.97992,                0.88374,                0.80333,                0.89401,                0.77383,                0.53819,                0.59696,                0.88278,              0.0017822,              0.0017822,              0.0017822
                     24,                0.57891,                0.63337,                0.97453,                0.84675,                0.81833,                0.87995,                0.75616,                0.56804,                0.75927,                 0.8942,              0.0017723,              0.0017723,              0.0017723
                     25,                0.56973,                0.62507,                0.97111,                0.87603,                0.83667,                  0.895,                0.77885,                0.54412,                0.63506,                0.87726,              0.0017624,              0.0017624,              0.0017624
                     26,                0.57954,                0.63041,                0.97466,                0.84283,                    0.8,                0.88483,                0.76609,                0.52759,                 0.6677,                0.87242,              0.0017525,              0.0017525,              0.0017525
                     27,                0.57339,                 0.6153,                0.96655,                0.85869,                0.84167,                0.89867,                0.78766,                0.51996,                0.62486,                0.86787,              0.0017426,              0.0017426,              0.0017426
                     28,                0.57762,                0.62838,                0.96606,                0.87607,                0.85667,                 0.9138,                 0.7966,                0.53777,                0.59622,                 0.8657,              0.0017327,              0.0017327,              0.0017327
                     29,                0.55922,                0.60298,                 0.9579,                0.89267,                  0.845,                 0.9052,                0.79089,                0.52485,                0.59616,                0.88067,              0.0017228,              0.0017228,              0.0017228
                     30,                0.56427,                0.60953,                0.96665,                0.85801,                  0.875,                0.89668,                0.78978,                0.50409,                0.57933,                0.86438,              0.0017129,              0.0017129,              0.0017129
